"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
98,"Bright Encounters","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat",2006,1,4,"4.99",73,"12.99","PG-13","2013-05-26 14:50:58.951","{Trailers}","'boat':20 'bright':1 'conquer':14 'encount':2 'fate':4 'feminist':11 'jet':19 'lumberjack':8 'must':13 'student':16 'yarn':5"
7,"Airplane Sierra","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,6,"4.99",62,"28.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4"
10,"Aladdin Calendar","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,1,6,"4.99",63,"24.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'action':5 'action-pack':4 'aladdin':1 'ancient':20 'calendar':2 'china':21 'feminist':18 'lumberjack':13 'man':10 'must':15 'pack':6 'reach':16 'tale':7"
25,"Angels Life","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,3,"2.99",74,"15.99","G","2013-05-26 14:50:58.951","{Trailers}","'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8"
34,"Arabia Dogma","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria",2006,1,6,"0.99",62,"29.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4"
38,"Ark Ridgemont","A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert",2006,1,6,"0.99",68,"25.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ark':1 'beauti':4 'desert':20 'explor':16 'monkey':11 'must':13 'pioneer':8 'pursu':14 'ridgemont':2 'sahara':19 'yarn':5"
55,"Barbarella Streetcar","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,6,"2.99",65,"27.99","G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2"
63,"Bedazzled Married","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House",2006,1,6,"0.99",73,"21.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':21 'astound':4 'bedazzl':1 'charact':5 'fun':22 'hous':23 'mad':17 'madman':9 'marri':2 'meet':15 'must':14 'robot':12 'scientist':18 'studi':6"
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,"4.99",61,"15.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8"
82,"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",2006,1,3,"0.99",71,"13.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'argonaut':2 'blood':1 'bore':4 'drama':5 'explor':8 'kill':14 'lumberjack':16 'man':11 'manhattan':19 'must':13 'penthous':20"
85,"Bonnie Holocaust","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006,1,4,"0.99",63,"29.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'ancient':20 'bonni':1 'crocodil':10 'fast':5 'fast-pac':4 'find':16 'holocaust':2 'japan':21 'moos':18 'must':15 'pace':6 'robot':13 'stori':7"
89,"Borrowers Bedazzled","A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House",2006,1,7,"0.99",63,"22.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'bedazzl':2 'borrow':1 'brilliant':4 'defeat':15 'epistl':5 'fun':21 'hous':22 'man':17 'must':14 'sumo':11 'teacher':8 'wrestler':12"
90,"Boulevard Mob","A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China",2006,1,3,"0.99",63,"11.99","R","2013-05-26 14:50:58.951","{Trailers}","'ancient':18 'boulevard':1 'china':19 'confront':14 'epistl':5 'fate':4 'lumberjack':16 'mob':2 'monkey':11 'moos':8 'must':13"
92,"Bowfinger Gables","A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California",2006,1,7,"4.99",72,"19.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'bowfing':1 'california':20 'compos':13 'dentist':18 'fast':5 'fast-pac':4 'gabl':2 'must':15 'outgun':16 'pace':6 'waitress':10 'yarn':7"
101,"Brotherhood Blanket","A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan",2006,1,3,"0.99",73,"26.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ancient':20 'astronaut':18 'blanket':2 'brotherhood':1 'butler':9 'charact':5 'fate':4 'japan':21 'must':15 'sink':16 'studi':6 'technic':12 'writer':13"
106,"Bulworth Commandments","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006,1,4,"2.99",61,"14.99","G","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'bulworth':1 'command':2 'cow':9 'display':5 'mad':8 'must':14 'outback':21 'pioneer':12 'redeem':15 'sumo':17 'wrestler':18"
107,"Bunch Minds","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention",2006,1,4,"2.99",63,"13.99","G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'bunch':1 'chef':17 'convent':21 'emot':4 'escap':14 'feminist':8,11 'mind':2 'must':13 'mysql':20 'pastri':16 'stori':5"
108,"Butch Panther","A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans",2006,1,6,"0.99",67,"19.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'administr':12 'butch':1 'databas':11 'face':15 'feminist':8 'hunter':17 'lacklustur':4 'must':14 'new':19 'orlean':20 'panther':2 'yarn':5"
114,"Camelot Vacation","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,3,"0.99",61,"26.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'battl':15 'camelot':1 'charact':5 'chef':18 'convent':22 'must':14 'mysql':21 'pastri':17 'studi':6 'touch':4 'vacat':2 'waitress':12 'woman':9"
116,"Candidate Perdition","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,4,"2.99",70,"10.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':12 'brilliant':4 'candid':1 'compos':8 'databas':11 'epistl':5 'first':21 'mad':17 'man':22 'must':14 'perdit':2 'scientist':18 'space':23 'station':24 'vanquish':15"
125,"Cassidy Wyoming","A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans",2006,1,5,"2.99",61,"19.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'agent':17 'cassidi':1 'drama':5 'frisbe':8 'hunter':11 'intrepid':4 'kill':14 'must':13 'new':19 'orlean':20 'secret':16 'wyom':2"
135,"Chance Resurrection","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",2006,1,3,"2.99",70,"22.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':20 'astound':4 'chanc':1 'china':21 'forens':8,12 'moos':18 'must':15 'overcom':16 'psychologist':9,13 'resurrect':2 'stori':5"
