"customer_id","total_transactions"
148,"45"
526,"42"
144,"40"
75,"39"
236,"39"
178,"39"
410,"38"
137,"38"
459,"37"
366,"36"
380,"35"
29,"35"
469,"35"
5,"35"
468,"34"
348,"34"
30,"34"
91,"34"
373,"34"
38,"34"
129,"34"
257,"34"
439,"33"
181,"33"
66,"33"
211,"33"
267,"33"
354,"33"
403,"33"
241,"32"
566,"32"
138,"32"
360,"32"
147,"32"
381,"32"
86,"32"
197,"32"
21,"32"
372,"32"
198,"32"
576,"32"
176,"32"
168,"32"
342,"32"
454,"32"
15,"32"
26,"32"
522,"32"
46,"31"
119,"31"
470,"31"
462,"31"
406,"31"
196,"31"
390,"31"
368,"31"
125,"31"
204,"31"
362,"31"
532,"31"
230,"31"
473,"31"
78,"31"
550,"31"
141,"31"
237,"31"
520,"31"
533,"30"
128,"30"
254,"30"
64,"30"
513,"30"
35,"30"
80,"30"
84,"30"
405,"30"
1,"30"
244,"30"
27,"30"
418,"30"
260,"30"
51,"30"
502,"30"
346,"30"
451,"30"
50,"30"
28,"30"
210,"30"
494,"30"
438,"30"
114,"30"
259,"30"
172,"30"
347,"30"
122,"30"
102,"30"
158,"30"
120,"30"
42,"29"
442,"29"
479,"29"
157,"29"
314,"29"
371,"29"
499,"29"
242,"29"
163,"29"
404,"29"
356,"29"
595,"29"
452,"29"
560,"29"
186,"29"
89,"29"
592,"29"
361,"29"
209,"29"
424,"29"
39,"29"
393,"29"
103,"29"
167,"29"
535,"28"
87,"28"
135,"28"
90,"28"
108,"28"
265,"28"
112,"28"
386,"28"
71,"28"
506,"28"
132,"28"
416,"28"
239,"28"
397,"28"
363,"28"
559,"28"
306,"28"
388,"28"
446,"28"
467,"28"
558,"28"
529,"28"
207,"28"
295,"28"
573,"28"
107,"28"
273,"28"
481,"28"
444,"28"
349,"28"
503,"28"
52,"28"
7,"28"
485,"28"
565,"27"
213,"27"
146,"27"
13,"27"
457,"27"
436,"27"
569,"27"
25,"27"
274,"27"
448,"27"
538,"27"
221,"27"
160,"27"
187,"27"
484,"27"
113,"27"
131,"27"
461,"27"
447,"27"
173,"27"
584,"27"
376,"27"
588,"27"
263,"27"
20,"27"
262,"27"
579,"27"
574,"27"
115,"27"
96,"27"
591,"27"
408,"27"
441,"27"
154,"27"
497,"27"
139,"27"
23,"27"
145,"27"
166,"27"
72,"27"
563,"27"
206,"27"
423,"26"
2,"26"
487,"26"
396,"26"
512,"26"
377,"26"
515,"26"
580,"26"
54,"26"
253,"26"
45,"26"
434,"26"
214,"26"
31,"26"
426,"26"
266,"26"
472,"26"
297,"26"
179,"26"
302,"26"
57,"26"
40,"26"
56,"26"
32,"26"
74,"26"
245,"26"
407,"26"
92,"26"
471,"26"
577,"26"
116,"26"
332,"26"
300,"26"
482,"26"
200,"26"
202,"26"
12,"26"
389,"25"
264,"25"
188,"25"
504,"25"
190,"25"
581,"25"
121,"25"
133,"25"
275,"25"
229,"25"
491,"25"
422,"25"
323,"25"
149,"25"
228,"25"
256,"25"
518,"25"
500,"25"
309,"25"
391,"25"
474,"25"
234,"25"
126,"25"
63,"25"
425,"25"
589,"25"
383,"25"
421,"25"
6,"25"
374,"25"
450,"25"
41,"25"
220,"25"
111,"25"
219,"25"
16,"25"
208,"25"
561,"25"
151,"25"
251,"25"
334,"25"
171,"25"
36,"25"
570,"25"
258,"24"
161,"24"
587,"24"
10,"24"
400,"24"
175,"24"
182,"24"
58,"24"
59,"24"
575,"24"
153,"24"
279,"24"
419,"24"
3,"24"
34,"24"
540,"24"
498,"24"
277,"24"
317,"24"
463,"24"
53,"24"
572,"24"
